frame_index,time_s,lead_arm_angle_deg,trail_elbow_angle_deg,lead_knee_angle_deg,trail_knee_angle_deg,shoulder_hip_separation_deg,head_to_hip_midpoint_dist,stance_width_dist,wrist_mid_x,wrist_mid_y,hand_height_norm,left_wrist_height_norm,right_wrist_height_norm,torso_line_angle_deg,left_elbow_angle_deg,right_elbow_angle_deg,mean_visibility,wrist_speed_norm_per_s
0,0.0,165.5666540518821,108.00463548947113,159.4232025648587,87.91802590990605,2.3043241056288366,0.5169404687796023,0.5310088624827516,0.3278454542160034,0.5560269355773926,0.4439730644226074,0.4787029027938843,0.40924322605133057,-52.474964168156205,165.5666540518821,108.00463548947113,0.7929785332896493,0.1166930862914723
1,0.03327932098765432,159.21600378931882,109.89672838468395,120.40113110137668,98.0983426771346,2.4705506967698057,0.4416797887364648,0.3958297751083557,0.32853105664253235,0.547687292098999,0.452312707901001,0.4857521653175354,0.41887325048446655,-51.87192528321425,159.21600378931882,109.89672838468395,0.7869256152348085,0.09766898824905067
2,0.06655864197530864,174.6940698856354,94.6232488514903,70.5692518154701,100.94825528736965,1.2517810242841563,0.4193407420488371,0.3393663567154416,0.33166131377220154,0.5486757755279541,0.4513242244720459,0.4852614998817444,0.4173869490623474,-50.827150380475615,174.6940698856354,94.6232488514903,0.7844057923013513,0.07897731425955516
3,0.09983796296296296,169.94765713863413,93.1224891866722,67.77329173443925,101.8777755703689,0.3729663519748385,0.4238285860120906,0.3263203557068684,0.33289483189582825,0.5492268800735474,0.45077311992645264,0.4850043058395386,0.4165419340133667,-50.26175120317164,169.94765713863413,93.1224891866722,0.7817726284265518,0.10815266386816401
4,0.13311728395061728,171.96907380770998,90.86182039462985,67.05199967861242,105.30506187287125,0.4484055701300349,0.4428252892960561,0.3280035278464913,0.33301393687725067,0.5493007004261017,0.4506992995738983,0.4850282073020935,0.4163703918457031,-51.02028262015898,171.96907380770998,90.86182039462985,0.77904943309047,0.06710228949025945
5,0.1663966049382716,173.4520211108071,87.0342814631881,69.48284892466516,112.06825293013998,0.5096552213220775,0.4139922705114244,0.3467364636566374,0.3317589610815048,0.5446110367774963,0.45538896322250366,0.4834553599357605,0.4273225665092468,-51.668680845569185,173.4520211108071,87.0342814631881,0.7762341955394456,0.05849424533413365
6,0.19967592592592592,149.96966280852308,94.7960568641595,71.68689952625243,89.55125860891269,0.1814489599406386,0.4284916872740432,0.37511921804979,0.3309837430715561,0.5432837009429932,0.45671629905700684,0.48409396409988403,0.42933863401412964,-52.09904255796155,149.96966280852308,94.7960568641595,0.773195105971712,0.056618736922884855
7,0.23295524691358024,166.3046796168795,93.4713259636759,77.31970131137078,95.68682135365738,1.414246008576157,0.4232592390944255,0.3693906083343959,0.33091500401496887,0.5451326966285706,0.45486730337142944,0.48403626680374146,0.42569833993911743,-52.26933265539416,166.3046796168795,93.4713259636759,0.7691579736543425,0.11119144977584797
8,0.26623456790123456,32.11888291362417,108.31668748574477,81.08937692061491,99.09687007913335,2.610265537033399,0.36184383012890514,0.34060278902409213,0.32990770041942596,0.5453871786594391,0.4546128213405609,0.4835495948791504,0.42567604780197144,-52.61399309890078,32.11888291362417,108.31668748574477,0.7655368088321253,0.09125771353150312
9,0.29951388888888886,167.191179709342,89.81399472338396,76.65174396075577,99.82825332388308,1.3972744989685282,0.3976401919804594,0.3028116333161305,0.3264721781015396,0.5539441108703613,0.44605588912963867,0.47693413496017456,0.4151776432991028,-52.40931880918663,167.191179709342,89.81399472338396,0.7625395980748263,0.09070302248557219
