frame_index,time_s,shooting_elbow_angle_deg,shooting_knee_angle_deg,wrist_height_norm,guide_hand_distance,shoulder_alignment_deg,shooting_wrist_height_norm,guide_wrist_height_norm,max_wrist_height_norm,shoulder_mid_height_norm,hip_mid_y,ankle_mid_y,body_center_x,body_center_y,stance_width_dist,mean_visibility,wrist_speed_norm_per_s,body_speed_norm_per_s,shot_form_score
0,0.0,61.66366000506753,122.39147364310354,0.4247555732727051,0.4139585162102551,5.340710410317314,0.4247555732727051,0.4145824909210205,0.4247555732727051,0.4736633598804474,0.5979911684989929,0.7036985456943512,0.5541881024837494,0.5979911684989929,0.23043222325181317,0.9268176609819586,0.01368943180200317,0.016567656490548876,0.34668271845764276
1,0.03333333333333333,57.052682668847936,119.81431563116666,0.4250304698944092,0.46206697127049945,5.938534209257057,0.4250304698944092,0.4145132899284363,0.4250304698944092,0.4729503393173218,0.5983642935752869,0.703633576631546,0.5539176762104034,0.5983642935752869,0.26806590381904427,0.9285841620329655,0.03362982733214271,0.039784272206078844,0.3270482963599091
2,0.06666666666666667,62.24923068841618,103.4034491278917,0.4254359006881714,0.4667660409106131,6.879851086521256,0.4254359006881714,0.4141963720321655,0.4254359006881714,0.4705204665660858,0.5991565883159637,0.7033824622631073,0.5530218183994293,0.5991565883159637,0.27144372456092436,0.9314385219053789,0.06412135885722337,0.06991018107275812,0.3650654670372569
3,0.1,72.86567768327778,110.1775713158285,0.4261706471443176,0.43642272767628876,7.555648346420156,0.4261706471443176,0.41320425271987915,0.4261706471443176,0.46723654866218567,0.6011919975280762,0.703239917755127,0.5499946773052216,0.6011919975280762,0.28450497431315014,0.9350337855743639,0.07744638171032166,0.08984812906139053,0.4280432349757508
4,0.13333333333333333,75.11383363318235,94.45264117314284,0.4259571433067322,0.40455781836525045,9.274245713889798,0.4259571433067322,0.4094933271408081,0.4259571433067322,0.4650081992149353,0.6025541424751282,0.7029447555541992,0.5437954366207123,0.6025541424751282,0.28454539716204225,0.937598983446757,0.08090079534049148,0.09271167332881962,0.4415693143420494
5,0.16666666666666666,83.16020694248029,90.9708689899259,0.4246671199798584,0.39535678085349857,9.278037405557853,0.4246671199798584,0.40813106298446655,0.4246671199798584,0.4623769521713257,0.6053423881530762,0.7022244036197662,0.5419876873493195,0.6053423881530762,0.2675407313052115,0.9405447840690613,0.09218464109945265,0.0870975330182693,0.4896565420102818
6,0.2,80.87507891602132,78.40553104470862,0.4240490794181824,0.38771002130716153,9.103519917284189,0.4240490794181824,0.40864449739456177,0.4240490794181824,0.4621305763721466,0.6047612130641937,0.7011580765247345,0.5412513315677643,0.6047612130641937,0.2658357763826757,0.94282020222057,0.0810949293977432,0.06866300177834922,0.47363447279721915
7,0.23333333333333334,79.17328303175215,70.92664744082265,0.4211852550506592,0.3929302311770832,8.225334397804005,0.4211852550506592,0.40901440382003784,0.4211852550506592,0.46284112334251404,0.6045025587081909,0.6994228959083557,0.5412801802158356,0.6045025587081909,0.262655059534352,0.9451444528319619,0.06376596708551839,0.04572932758719084,0.45898136252427857
8,0.26666666666666666,76.75798412503315,64.5369231433224,0.4200405478477478,0.3999300389938976,8.703484119008976,0.4200405478477478,0.4086087942123413,0.4200405478477478,0.46320265531539917,0.6043108105659485,0.698249340057373,0.5418226718902588,0.6043108105659485,0.2415495424448012,0.9476011214834271,0.08481809155173042,0.05784139335833042,0.4518786726045922
9,0.3,73.59866497132222,68.39516348329309,0.41768336296081543,0.4080363761492223,9.191587698785582,0.41768336296081543,0.40882956981658936,0.41768336296081543,0.46341848373413086,0.603339433670044,0.6974893510341644,0.5441531836986542,0.603339433670044,0.2358236527492747,0.9498581398617137,0.10860363438445346,0.07565031871907837,0.4414625623782372
10,0.3333333333333333,72.48240520835425,80.02916603675006,0.41506683826446533,0.3977463629730332,10.1783309712321,0.41506683826446533,0.4093937873840332,0.41506683826446533,0.4633108675479889,0.6017418801784515,0.6971891522407532,0.5492503643035889,0.6017418801784515,0.25841371093028626,0.9514043999440742,0.12329100440169073,0.10101305566230268,0.4396673302558086
11,0.36666666666666664,70.2126039210828,87.0862611147741,0.4116753339767456,0.3940802198300569,10.964639576652587,0.4116753339767456,0.4097598195075989,0.4116753339767456,0.4634435176849365,0.6001609563827515,0.6968402564525604,0.5528223812580109,0.6001609563827515,0.2613057422838961,0.9523870583736536,0.1522785766421879,0.12399341884658925,0.4357535947764497
12,0.4,63.59101206675489,90.30583266814175,0.4077019691467285,0.3881982664411572,11.337296041879767,0.4077019691467285,0.41257601976394653,0.41257601976394653,0.4641583561897278,0.5973845720291138,0.6969093084335327,0.5563477575778961,0.5973845720291138,0.26957088362634585,0.9536114786610459,0.18253304485147506,0.15636608361585244,0.40804331382630304
