frame_index,time_s,lead_arm_angle_deg,trail_elbow_angle_deg,lead_knee_angle_deg,trail_knee_angle_deg,shoulder_hip_separation_deg,head_to_hip_midpoint_dist,stance_width_dist,wrist_mid_x,wrist_mid_y,hand_height_norm,left_wrist_height_norm,right_wrist_height_norm,torso_line_angle_deg,left_elbow_angle_deg,right_elbow_angle_deg,mean_visibility,wrist_speed_norm_per_s
0,0.0,66.66691482564642,81.26803218947977,155.74070521152063,147.2967694383651,117.54579303058382,0.25366172714782553,0.3990611136346013,0.38694725930690765,0.536259114742279,0.46374088525772095,0.4691075086593628,0.4583742618560791,-58.71721368238976,66.66691482564642,81.26803218947977,0.7605025037897356,0.08117749938224544
1,0.04,68.32952897885771,84.55152957720249,160.2300989378259,152.9455859204475,27.602063027007148,0.21884664117738034,0.4316120702274777,0.3850218206644058,0.5335847735404968,0.4664152264595032,0.4730933904647827,0.45973706245422363,-59.640287762491724,68.32952897885771,84.55152957720249,0.762033784479806,0.06756598593275107
2,0.08,67.79893142078403,102.03495034048161,160.41145964616402,153.98351650375594,15.275484102378726,0.20378651086888755,0.4300968156139649,0.37894588708877563,0.5314323008060455,0.46856769919395447,0.4763084053993225,0.4608269929885864,-60.83401503979726,67.79893142078403,102.03495034048161,0.7623691778968681,0.06858207411982281
3,0.12,68.72954941783193,96.60052293816494,160.98946258598008,155.46870941054914,12.718009622722008,0.20322464100008425,0.4262599504513501,0.3784258961677551,0.5304979979991913,0.4695020020008087,0.4773710370063782,0.46163296699523926,-61.15462472149065,68.72954941783193,96.60052293816494,0.7623489006902232,0.07437696563543177
4,0.16,70.14493665487811,102.74447486386147,162.09143302271548,158.02820595637505,10.46823665562684,0.20279053557260468,0.3990519136828809,0.37555234134197235,0.5300659239292145,0.4699340760707855,0.4776459336280823,0.46222221851348877,-60.970499663703116,70.14493665487811,102.74447486386147,0.7616033113815568,0.06065605585621318
5,0.2,69.3910217919515,102.462285083996,161.54901268461836,160.49246367484514,9.14667417831302,0.20334077002027137,0.377603685369691,0.3744237869977951,0.5303297340869904,0.46967026591300964,0.4774690270423889,0.46187150478363037,-60.61538625870777,69.3910217919515,102.462285083996,0.760237030684948,0.03307246437663796
6,0.24,68.80795289770472,96.19596749879126,160.96074395507068,159.8663909492729,9.722260255201832,0.20590882638641936,0.38407643224362015,0.37478162348270416,0.5307489633560181,0.46925103664398193,0.47713422775268555,0.4613678455352783,-60.06167234251259,68.80795289770472,96.19596749879126,0.760229940893072,0.030565187696005577
7,0.28,67.46483953592076,98.27089875628582,157.64138519818275,158.91727284665822,9.832144233684346,0.20854395862599404,0.3763889842302174,0.3756054788827896,0.531178742647171,0.468821257352829,0.4770066738128662,0.46063584089279175,-59.47202830409934,67.46483953592076,98.27089875628582,0.7600167375622373,0.018716841028086528
8,0.32,67.9150504909608,99.29689605816287,156.5307004194136,158.4919780078363,8.446163449379952,0.20982130509978558,0.3692075673130693,0.3760814964771271,0.5314882695674896,0.4685117304325104,0.47687840461730957,0.4601450562477112,-59.03821115258469,67.9150504909608,99.29689605816287,0.7600667934977647,0.01405895222098145
9,0.36,69.20107425328105,89.99193347132808,154.45389337347157,155.32642140956574,9.883384953728552,0.21527552126764793,0.35943717411046067,0.37588290870189667,0.5319863259792328,0.4680136740207672,0.4758889079093933,0.4601384401321411,-58.34552941332349,69.20107425328105,89.99193347132808,0.7592428989256873,0.01297990157193269
